Count,Deleted_Word,Filename
3,had,c-rea1-f1_hyp.trn.dtl
3,the,c-rea1-f1_hyp.trn.dtl
3,to,c-rea1-f1_hyp.trn.dtl
2,a,c-rea1-f1_hyp.trn.dtl
2,and,c-rea1-f1_hyp.trn.dtl
2,her,c-rea1-f1_hyp.trn.dtl
2,of,c-rea1-f1_hyp.trn.dtl
2,they,c-rea1-f1_hyp.trn.dtl
1,all,c-rea1-f1_hyp.trn.dtl
1,announce,c-rea1-f1_hyp.trn.dtl
1,arrived,c-rea1-f1_hyp.trn.dtl
1,be,c-rea1-f1_hyp.trn.dtl
1,bells,c-rea1-f1_hyp.trn.dtl
1,but,c-rea1-f1_hyp.trn.dtl
1,called,c-rea1-f1_hyp.trn.dtl
1,came,c-rea1-f1_hyp.trn.dtl
1,cleaning,c-rea1-f1_hyp.trn.dtl
1,day,c-rea1-f1_hyp.trn.dtl
1,do,c-rea1-f1_hyp.trn.dtl
1,downs,c-rea1-f1_hyp.trn.dtl
1,dreamed,c-rea1-f1_hyp.trn.dtl
1,everyone,c-rea1-f1_hyp.trn.dtl
1,find,c-rea1-f1_hyp.trn.dtl
1,girls,c-rea1-f1_hyp.trn.dtl
1,hand,c-rea1-f1_hyp.trn.dtl
1,held,c-rea1-f1_hyp.trn.dtl
1,help,c-rea1-f1_hyp.trn.dtl
1,jewels,c-rea1-f1_hyp.trn.dtl
1,lazy,c-rea1-f1_hyp.trn.dtl
1,lily,c-rea1-f1_hyp.trn.dtl
1,me,c-rea1-f1_hyp.trn.dtl
1,messenger,c-rea1-f1_hyp.trn.dtl
1,my,c-rea1-f1_hyp.trn.dtl
1,old,c-rea1-f1_hyp.trn.dtl
1,one,c-rea1-f1_hyp.trn.dtl
1,poor,c-rea1-f1_hyp.trn.dtl
1,rosa,c-rea1-f1_hyp.trn.dtl
1,royal,c-rea1-f1_hyp.trn.dtl
1,she,c-rea1-f1_hyp.trn.dtl
1,sisters,c-rea1-f1_hyp.trn.dtl
1,spent,c-rea1-f1_hyp.trn.dtl
1,their,c-rea1-f1_hyp.trn.dtl
1,wear,c-rea1-f1_hyp.trn.dtl
1,wedding,c-rea1-f1_hyp.trn.dtl
1,were,c-rea1-f1_hyp.trn.dtl
1,would,c-rea1-f1_hyp.trn.dtl
5,and,c-rea1-f2_hyp.trn.dtl
3,lily,c-rea1-f2_hyp.trn.dtl
3,the,c-rea1-f2_hyp.trn.dtl
2,a,c-rea1-f2_hyp.trn.dtl
2,of,c-rea1-f2_hyp.trn.dtl
2,rosa,c-rea1-f2_hyp.trn.dtl
2,they,c-rea1-f2_hyp.trn.dtl
2,to,c-rea1-f2_hyp.trn.dtl
2,were,c-rea1-f2_hyp.trn.dtl
1,announce,c-rea1-f2_hyp.trn.dtl
1,arrived,c-rea1-f2_hyp.trn.dtl
1,ball,c-rea1-f2_hyp.trn.dtl
1,be,c-rea1-f2_hyp.trn.dtl
1,called,c-rea1-f2_hyp.trn.dtl
1,came,c-rea1-f2_hyp.trn.dtl
1,cinders,c-rea1-f2_hyp.trn.dtl
1,cleaning,c-rea1-f2_hyp.trn.dtl
1,day,c-rea1-f2_hyp.trn.dtl
1,do,c-rea1-f2_hyp.trn.dtl
1,downs,c-rea1-f2_hyp.trn.dtl
1,evening,c-rea1-f2_hyp.trn.dtl
1,girls,c-rea1-f2_hyp.trn.dtl
1,had,c-rea1-f2_hyp.trn.dtl
1,hand,c-rea1-f2_hyp.trn.dtl
1,hat,c-rea1-f2_hyp.trn.dtl
1,held,c-rea1-f2_hyp.trn.dtl
1,her,c-rea1-f2_hyp.trn.dtl
1,honour,c-rea1-f2_hyp.trn.dtl
1,jewels,c-rea1-f2_hyp.trn.dtl
1,lazy,c-rea1-f2_hyp.trn.dtl
1,lived,c-rea1-f2_hyp.trn.dtl
1,me,c-rea1-f2_hyp.trn.dtl
1,messenger,c-rea1-f2_hyp.trn.dtl
1,mother,c-rea1-f2_hyp.trn.dtl
1,one,c-rea1-f2_hyp.trn.dtl
1,royal,c-rea1-f2_hyp.trn.dtl
1,she,c-rea1-f2_hyp.trn.dtl
1,so,c-rea1-f2_hyp.trn.dtl
1,stepsisters,c-rea1-f2_hyp.trn.dtl
1,two,c-rea1-f2_hyp.trn.dtl
1,when,c-rea1-f2_hyp.trn.dtl
1,with,c-rea1-f2_hyp.trn.dtl
1,would,c-rea1-f2_hyp.trn.dtl
3,lily,c-rea1-f3_hyp.trn.dtl
3,they,c-rea1-f3_hyp.trn.dtl
2,all,c-rea1-f3_hyp.trn.dtl
2,and,c-rea1-f3_hyp.trn.dtl
2,ball,c-rea1-f3_hyp.trn.dtl
2,her,c-rea1-f3_hyp.trn.dtl
1,a,c-rea1-f3_hyp.trn.dtl
1,called,c-rea1-f3_hyp.trn.dtl
1,cinders,c-rea1-f3_hyp.trn.dtl
